section,experiment,accuracy,precision,recall,f1
00,Source_Source,0.505,0.5084745762711864,0.3,0.37735849056603776
00,Source_Target,0.525,0.6086956521739131,0.14,0.22764227642276422
00,Source+Target_Target,0.53,0.6363636363636364,0.14,0.22950819672131148
01,Source_Source,0.485,0.4788732394366197,0.34,0.39766081871345027
01,Source_Target,0.53,0.6,0.18,0.27692307692307694
01,Source+Target_Target,0.525,0.5862068965517241,0.17,0.26356589147286824
02,Source_Source,0.505,0.5081967213114754,0.31,0.38509316770186336
02,Source_Target,0.51,0.75,0.03,0.057692307692307696
02,Source+Target_Target,0.51,0.75,0.03,0.057692307692307696
