comparison,feature,p_value,p_value_corrected,significant
source_normal_vs_anomaly,rms,0.008358628988989055,0.050151773933934336,False
source_normal_vs_anomaly,zcr,0.313216935877916,0.3783545298926544,False
source_normal_vs_anomaly,spectral_centroid,0.20760579577483895,0.3783545298926544,False
source_normal_vs_anomaly,spectral_bandwidth,0.4117891389694728,0.4117891389694728,False
source_normal_vs_anomaly,spectral_rolloff,0.315295441577212,0.3783545298926544,False
source_normal_vs_anomaly,spectral_flatness,0.2121825757536796,0.3783545298926544,False
target_normal_vs_anomaly,rms,0.8372151789541912,0.9649095289484148,False
target_normal_vs_anomaly,zcr,0.9649095289484148,0.9649095289484148,False
target_normal_vs_anomaly,spectral_centroid,0.5676907474450064,0.8515361211675095,False
target_normal_vs_anomaly,spectral_bandwidth,0.1281724456447875,0.769034673868725,False
target_normal_vs_anomaly,spectral_rolloff,0.2966528748906272,0.8515361211675095,False
target_normal_vs_anomaly,spectral_flatness,0.5484948919277788,0.8515361211675095,False
source_normal_vs_target_normal,rms,2.4831017260254045e-11,1.4898610356152427e-10,True
source_normal_vs_target_normal,zcr,0.681595239359206,0.8179142872310471,False
source_normal_vs_target_normal,spectral_centroid,0.5913787479610001,0.8179142872310471,False
source_normal_vs_target_normal,spectral_bandwidth,0.9727403349904257,0.9727403349904257,False
source_normal_vs_target_normal,spectral_rolloff,0.6785198544882045,0.8179142872310471,False
source_normal_vs_target_normal,spectral_flatness,0.14772215292430074,0.4431664587729022,False
